Sensors' Acquisition [Hz]: Acc@26.0 
hh:mm:ss.ms, Annotation , AccX [mg], AccY, AccZ
01:02:42.569,,1009,347,-130
01:02:42.606,,936,367,-73
01:02:42.643,,910,381,-25
01:02:42.680,,880,362,-5
01:02:42.717,,911,340,11
01:02:42.754,,930,339,8
01:02:42.791,,876,344,30
01:02:42.828,,841,352,34
01:02:42.865,,846,389,26
01:02:42.902,,841,392,7
01:02:42.939,,840,403,-5
01:02:42.976,,825,415,-2
01:02:43.013,,832,424,-14
01:02:43.050,,865,448,-5
01:02:43.088,,875,423,-15
01:02:43.125,,913,426,5
01:02:43.162,,934,431,-7
01:02:43.199,,917,454,23
01:02:43.236,,871,432,44
01:02:43.273,,841,437,65
01:02:43.310,,876,464,100
01:02:43.347,,903,474,129
01:02:43.384,,906,433,134
01:02:43.421,,908,389,137
01:02:43.458,,903,372,139
01:02:43.495,,875,393,133
01:02:43.532,,863,419,147
01:02:43.569,,875,388,136
01:02:43.606,,884,382,102
01:02:43.643,,876,406,85
01:02:43.680,,873,414,76
01:02:43.717,,863,416,72
01:02:43.754,,849,420,58
01:02:43.791,,849,424,77
01:02:43.828,,874,414,71
01:02:43.865,,872,438,63
01:02:43.902,,858,446,72
01:02:43.940,,864,456,81
01:02:43.977,,860,454,90
01:02:44.014,,871,439,110
01:02:44.051,,883,450,116
01:02:44.088,,886,452,120
01:02:44.125,,879,442,132
01:02:44.162,,876,426,131
01:02:44.199,,885,427,132
01:02:44.236,,854,417,145
01:02:44.273,,803,434,165
01:02:44.310,,754,476,151
01:02:44.347,,722,489,156
01:02:44.384,,809,485,152
01:02:44.421,,914,507,133
01:02:44.458,,819,457,79
01:02:44.495,,802,471,89
01:02:44.532,,837,446,37
01:02:44.569,,944,480,-4
01:02:44.606,,1043,481,-10
01:02:44.643,,1012,469,1
01:02:44.680,,909,475,27
01:02:44.717,,853,453,65
01:02:44.754,,848,440,74
01:02:44.792,,857,391,42
01:02:44.829,,843,395,32
01:02:44.866,,823,386,-3
01:02:44.903,,829,416,8
01:02:44.940,,879,398,30
01:02:44.977,,1013,380,16
01:02:45.014,,1041,412,44
01:02:45.051,,875,425,126
01:02:45.088,,906,414,198
01:02:45.125,,969,382,236
01:02:45.162,,932,302,240
01:02:45.199,,870,270,258
01:02:45.236,,860,253,241
01:02:45.273,,864,235,241
01:02:45.310,,873,258,251
01:02:45.347,,868,285,258
01:02:45.384,,843,288,267
01:02:45.421,,825,329,284
01:02:45.458,,821,317,269
01:02:45.495,,826,338,277
01:02:45.532,,818,366,283
01:02:45.569,,812,370,304
01:02:45.606,,821,346,301
01:02:45.644,,818,352,301
01:02:45.681,,827,348,287
01:02:45.718,,944,357,255
01:02:45.755,,948,373,214
01:02:45.792,,849,356,183
01:02:45.829,,869,368,192
01:02:45.866,,929,353,201
01:02:45.903,,927,354,221
01:02:45.940,,905,347,222
01:02:45.977,,889,343,209
01:02:46.014,,876,300,215
01:02:46.051,,873,428,165
01:02:46.088,,880,321,186
01:02:46.125,,857,362,180
01:02:46.162,,864,383,134
01:02:46.199,,864,405,147
01:02:46.236,,882,401,151
01:02:46.273,,924,432,143
01:02:46.310,,928,428,157
01:02:46.347,,919,414,156
01:02:46.384,,909,419,142
01:02:46.421,,900,419,157
01:02:46.458,,896,396,151
01:02:46.496,,908,390,135
01:02:46.533,,925,391,114
01:02:46.570,,916,391,103
01:02:46.607,,903,367,95
01:02:46.644,,891,389,97
01:02:46.681,,874,413,108
01:02:46.718,,872,382,102
01:02:46.755,,874,391,107
01:02:46.792,,875,387,105
01:02:46.829,,876,392,96
01:02:46.866,,874,389,102
01:02:46.903,,860,393,106
01:02:46.940,,852,406,109
01:02:46.977,,863,411,99
01:02:47.014,,873,420,109
01:02:47.051,,879,420,104
01:02:47.088,,881,419,85
01:02:47.125,,882,428,80
01:02:47.162,,892,417,70
01:02:47.199,,903,425,56
01:02:47.236,,919,438,51
01:02:47.273,,915,448,40
01:02:47.310,,850,443,47
01:02:47.348,,840,458,71
01:02:47.385,,851,470,70
01:02:47.422,,882,424,51
01:02:47.459,,1046,499,48
01:02:47.496,,1057,518,57
01:02:47.533,,848,483,125
01:02:47.570,,814,460,170
01:02:47.607,,874,434,170
01:02:47.644,,883,418,154
01:02:47.681,,898,419,140
01:02:47.718,,891,425,112
01:02:47.755,,862,388,100
01:02:47.792,,878,349,26
01:02:47.829,,884,389,29
01:02:47.866,,886,397,9
01:02:47.903,,920,403,0
01:02:47.940,,959,376,1
01:02:47.977,,935,325,-1
01:02:48.014,,907,205,44
01:02:48.051,,850,304,27
01:02:48.088,,865,279,53
01:02:48.125,,884,331,125
01:02:48.162,,927,555,275
01:02:48.200,,991,621,243
01:02:48.237,,895,551,6
01:02:48.274,,746,586,89
01:02:48.311,,697,489,-47
01:02:48.348,,694,454,-122
01:02:48.385,,715,510,-135
01:02:48.422,,755,589,-130
01:02:48.459,,769,625,-84
01:02:48.496,,718,586,-53
01:02:48.533,,683,474,-1
01:02:48.570,,713,443,47
01:02:48.607,,857,451,30
01:02:48.644,,929,458,-46
01:02:48.681,,855,481,-34
